SN,Name,Description,Published Date,File Link
1,42nd Financial Report 2079/80,Fiscal Year 2079/80,2024-01-25,https://www.nepalstock.com/api/web/report/download-report/b2d71bcea3727a16667ca1f2167665a2.pdf
2,41st Financial Report 2078/79,Fiscal Year 2078/79,2024-01-25,https://www.nepalstock.com/api/web/report/download-report/d799baf46a04b65f7f598da8cc161c31.pdf
3,40th Financial Report 2077/78,Fiscal Year 2077/78,2024-01-25,https://www.nepalstock.com/api/web/report/download-report/a65dcdae08c8fa60cbbe91aa4fc5b392.pdf
4,39th Financial Report 2076/77,Fiscal Year 2076/77,2024-01-25,https://www.nepalstock.com/api/web/report/download-report/cd1f21e1a3fd3efe1f525147a785eb30.pdf
