securityId,securityName,symbol,indexId,openPrice,highPrice,lowPrice,totalTradeQuantity,totalTradeValue,lastTradedPrice,percentageChange,lastUpdatedDateTime,lastTradedVolume,previousClose,averageTradedPrice
9166,Makar Jitumaya Suri Hydropower Limited,MAKAR,58,489.4,489.4,479.7,60,28879.0,479.7,-0.04,2024-09-25 11:05:04.612943,50,479.9,481.32
2935,Ru Ru Jalbidhyut Pariyojana Limited,RURU,58,797.6,797.6,797.6,100,79760.0,797.6,1.99,2024-09-25 11:04:55.982026,100,782.0,797.6
348,Citizens Bank International Limited,CZBIL,58,228.0,228.0,228.0,100,22800.0,228.0,-0.44,2024-09-25 11:04:55.43179,44,229.0,228.0
2787,Kalika power Company Ltd,KPCL,58,454.0,454.0,454.0,14,6356.0,454.0,-0.22,2024-09-25 11:04:52.053443,14,455.0,454.0
2781,Wean Nepal Laghubitta Bittiya Sanstha Limited,WNLB,58,2448.0,2448.0,2448.0,10,24480.0,2448.0,2.0,2024-09-25 11:04:48.777718,10,2400.0,2448.0
9175,Menchhiyam Hydropower Limited,MCHL,58,473.0,473.0,473.0,10,4730.0,473.0,-1.46,2024-09-25 11:04:43.646961,10,480.0,473.0
574,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,SKBBL,58,890.0,890.0,890.0,12,10680.0,890.0,1.37,2024-09-25 11:04:13.242278,12,878.0,890.0
274,Excel Development Bank Ltd.,EDBL,58,640.0,665.0,618.0,8230,5296784.3,625.0,-0.76,2024-09-25 11:04:12.308306,50,629.8,643.59
182,Siddhartha Premier Insurance Limited,SPIL,58,830.0,830.0,830.0,16,13280.0,830.0,-0.84,2024-09-25 11:04:12.030096,16,837.0,830.0
2789,Joshi Hydropower Development Company Ltd,JOSHI,58,284.3,295.6,284.3,31,8982.3,295.6,1.93,2024-09-25 11:03:34.179677,10,290.0,289.75
172,Narayani Development Bank Limited,NABBC,58,547.0,547.0,547.0,10,5470.0,547.0,-1.8,2024-09-25 11:03:24.226589,10,557.0,547.0
9208,Upper Lohore Khola Hydropower Company Limited,ULHC,58,375.4,390.0,375.4,40,15312.0,390.0,1.83,2024-09-25 11:03:19.954699,10,383.0,382.8
